visit_grid,ses1_fre,ses2_fre,ses3_fre,ses4_fre
171648,61.0,100.0,129.0,198.0
171649,148.0,213.0,448.0,453.0
171650,490.0,752.0,1262.0,1513.0
171651,677.0,949.0,1583.0,1777.0
171652,273.0,337.0,632.0,750.0
171653,69.0,89.0,203.0,307.0
171654,75.0,58.0,110.0,148.0
171655,247.0,574.0,1109.0,3269.0
171656,193.0,347.0,724.0,1242.0
171657,566.0,768.0,2796.0,3672.0
171658,1027.0,1352.0,2898.0,3609.0
171659,4369.0,4830.0,7624.0,6965.0
171660,2073.0,2413.0,4677.0,3843.0
171661,1718.0,1639.0,3566.0,3149.0
171662,8280.0,9770.0,14695.0,15276.0
171663,2788.0,3775.0,6617.0,6498.0
171664,3800.0,4536.0,5693.0,6387.0
171665,860.0,1080.0,2783.0,4307.0
171666,2419.0,3557.0,7220.0,7112.0
171667,3237.0,4251.0,7884.0,8774.0
171668,1844.0,2576.0,5859.0,5738.0
171669,1396.0,1971.0,4305.0,4433.0
171670,1541.0,1907.0,3779.0,3722.0
171671,962.0,1296.0,2944.0,2962.0
171672,1117.0,1178.0,2900.0,2828.0
171673,386.0,632.0,1659.0,1227.0
171674,752.0,877.0,2330.0,1788.0
171675,3216.0,4055.0,6760.0,5142.0
171676,1083.0,1841.0,3530.0,3215.0
171677,1449.0,1816.0,3481.0,3557.0
171678,539.0,767.0,2185.0,2087.0
171679,978.0,850.0,2040.0,1682.0
171680,771.0,1030.0,2402.0,2171.0
171681,266.0,437.0,1824.0,1346.0
171682,970.0,1298.0,1702.0,1456.0
171683,347.0,389.0,1262.0,1062.0
171684,391.0,400.0,1042.0,985.0
171685,674.0,896.0,2345.0,1527.0
171686,1105.0,2078.0,4175.0,2774.0
171687,1114.0,1635.0,2922.0,2083.0
171688,484.0,762.0,1759.0,1630.0
171689,669.0,728.0,1253.0,935.0
171690,786.0,1063.0,1684.0,1463.0
171691,516.0,836.0,1484.0,1030.0
171692,1645.0,2582.0,4720.0,3267.0
171693,797.0,1678.0,3409.0,2361.0
171694,507.0,949.0,2245.0,1039.0
