visit_grid,avg_ses_2403,avg_ses_1903
118827,35,29
118828,29,42
118829,41,38
118830,36,32
118831,41,28
118832,42,33
118833,36,47
118834,37,38
118835,35,30
118836,39,30
118837,37,32
118838,32,33
118839,35,34
118840,39,28
118841,43,40
118842,29,35
118843,34,24
118844,39,26
118845,35,34
118846,43,33
118847,43,36
118848,46,35
118849,33,37
118850,30,39
118851,30,33
118852,32,33
118853,37,28
118854,38,44
118855,33,48
118856,39,34
118857,37,35
118858,40,35
118859,42,33
118860,42,25
118861,36,42
118862,36,39
118863,31,35
118864,32,29
118865,36,36
118866,43,44
118867,40,46
118868,41,37
118869,45,26
118870,40,28
118871,31,24
118872,26,28
118873,37,30
118874,35,31
118875,29,35
118876,36,34
118877,38,31
118878,41,48
118879,34,46
118880,33,36
118881,54,39
118882,35,28
118883,32,38
118884,38,37
118885,44,36
118886,36,41
118887,43,31
118888,37,41
118889,38,37
118890,38,35
118891,41,41
118892,41,37
118893,39,34
118894,30,33
118895,40,49
118896,37,36
118897,41,40
118898,44,32
118899,40,31
118900,45,43
118901,36,36
118902,42,36
118903,41,39
118904,45,33
118905,42,37
118906,31,33
118907,35,35
118908,43,30
118909,38,37
118910,41,44
118911,41,34
118912,34,33
118913,32,46
118914,26,44
118915,42,41
118916,35,43
118917,27,34
118918,32,38
118919,39,49
118920,39,43
118921,27,35
118922,37,38
118923,37,58
118924,27,25
118925,19,15
118926,16,13
118927,29,28
118928,22,29
118929,34,40
118930,28,16
118931,9,29
118933,48,62
118934,37,38
118935,47,47
118936,37,40
118937,22,42
118938,24,30
118939,32,27
118940,23,23
118941,17,6
118942,22,59
118943,15,27
118944,20,29
118945,20,23
119474,41,32
119475,62,37
119476,52,44
119477,45,53
119478,18,35
119479,32,22
119480,31,35
119481,22,60
119482,42,40
119483,30,32
119484,26,51
119485,35,27
119486,43,35
119487,35,32
119488,30,35
119489,41,54
119490,45,39
119491,29,43
119492,20,36
119493,56,30
119494,34,32
119495,40,23
119496,29,19
119497,36,20
119498,21,21
119499,20,40
119500,54,51
119501,25,41
119502,32,26
119503,28,33
119504,27,23
119505,31,28
119506,26,28
119507,36,25
119508,29,29
119509,25,47
119510,32,21
119511,22,22
119512,32,22
119513,26,26
119514,39,25
119515,34,30
119516,14,30
119517,58,31
119518,42,29
119519,25,25
119520,35,23
119521,30,37
119522,18,27
119523,24,28
119524,38,32
119525,43,36
119526,48,31
119527,40,36
119528,35,36
119529,35,41
119530,37,39
119531,38,41
119532,36,37
119533,38,35
119534,36,35
119535,38,40
119536,39,43
119537,37,34
119538,38,34
119539,39,43
119540,38,36
119541,38,40
119542,43,42
119543,36,35
119544,43,38
119545,42,31
119546,46,32
119547,41,36
119548,39,35
119549,38,28
119550,34,30
119551,34,26
119552,34,33
119553,30,32
119554,35,33
119555,37,37
119556,42,34
119557,44,35
119558,28,23
119559,30,24
119560,33,34
119561,38,38
119562,34,40
119563,33,38
119564,30,35
119565,32,39
119566,26,41
119567,36,28
119568,30,35
119569,28,31
119570,32,30
119571,44,32
119572,26,35
119573,37,40
119574,43,32
119575,33,23
119576,35,37
119577,35,40
119578,37,39
119579,45,37
119580,37,42
119581,38,42
119582,44,32
119583,43,30
119584,39,25
119585,25,24
119586,34,35
119587,32,27
119588,38,32
119589,37,42
119590,35,48
119591,34,53
119592,40,45
119593,42,43
119594,36,35
119595,39,38
119596,47,31
119597,31,38
119598,44,42
119599,40,46
119600,35,42
119601,40,29
119602,48,31
119603,28,39
119604,35,39
119605,39,50
119606,40,44
119607,44,39
119608,42,36
119609,51,32
119610,34,31
119611,41,40
119612,41,43
119613,42,38
119614,46,30
119615,40,36
119616,37,39
119617,29,31
119618,53,30
119619,43,42
119620,36,37
119621,35,37
119622,35,35
119623,34,34
119624,31,50
119625,26,35
119626,40,42
119627,37,38
119628,35,43
119629,33,48
119630,43,56
119631,32,35
119632,42,43
119633,46,51
119634,23,38
119635,33,42
119636,33,39
119637,32,43
119638,41,24
119639,40,32
119640,23,20
119641,30,35
119642,19,21
119643,27,35
119644,44,39
119645,32,43
119646,26,20
119647,45,44
119648,35,21
119649,25,23
119650,18,28
119651,40,38
119652,49,41
119653,10,38
119654,24,24
119655,32,25
119656,53,28
119657,15,25
119658,23,23
119659,19,26
119660,29,28
120188,36,24
120189,35,41
120190,39,24
120191,35,22
120192,23,34
120193,18,51
120194,32,27
120195,33,27
120196,24,44
120197,33,25
120198,21,38
120199,64,25
120200,39,30
120201,31,33
120202,20,33
120203,51,53
120204,31,31
120205,24,37
120206,28,41
120207,68,36
120208,29,24
120209,29,34
120210,24,26
120211,27,32
120212,36,27
120213,28,27
120214,42,19
120215,30,37
120216,28,21
120217,21,24
120218,22,21
120219,25,30
120220,29,18
120221,36,31
120222,29,31
120223,26,14
120224,22,28
120225,25,40
120226,21,26
120227,13,21
120228,33,25
120229,41,33
120230,28,26
120231,34,29
120232,19,28
120233,19,24
120234,27,24
120235,32,27
120236,29,27
120237,39,32
120238,43,41
120239,48,38
120240,42,32
120241,34,26
120242,27,41
120243,32,39
120244,36,36
120245,38,36
120246,37,35
120247,35,33
120248,35,35
120249,37,35
120250,37,35
120251,38,44
120252,38,41
120253,31,36
120254,39,37
120255,42,42
120256,42,35
120257,36,35
120258,47,37
120259,41,36
120260,43,32
120261,44,43
120262,40,41
120263,42,27
120264,37,30
120265,38,31
120266,35,35
120267,35,36
120268,32,47
120269,33,37
120270,35,40
120271,38,39
120272,29,35
120273,38,28
120274,29,27
120275,32,33
120276,34,38
120277,41,30
120278,36,40
120279,43,36
120280,24,30
120281,34,43
120282,40,31
120283,30,35
120284,35,33
120285,37,31
120286,30,34
120287,30,29
120288,35,33
120289,34,27
120290,37,35
120291,35,40
120292,42,39
120293,32,35
120294,39,31
120295,45,35
120296,31,35
120297,27,35
120298,28,30
120299,39,33
120300,38,39
120301,38,43
120302,37,33
120303,37,39
120304,34,46
120305,43,47
120306,36,42
120307,35,34
120308,30,41
120309,47,46
120310,39,42
120311,48,34
120312,43,44
120313,41,38
120314,32,28
120315,37,37
120316,38,34
120317,27,31
120318,45,37
120319,33,47
120320,43,44
120321,38,42
120322,42,38
120323,41,32
120324,45,30
120325,41,42
120326,44,38
120327,53,41
120328,50,39
120329,50,38
120330,31,36
120331,36,32
120332,36,32
120333,37,40
120334,24,43
120335,34,41
120336,39,42
120337,23,43
120338,39,35
120339,40,38
120340,35,43
120341,36,39
120342,45,38
120343,41,44
120344,28,42
120345,43,35
120346,34,56
120347,44,37
120348,35,24
120349,35,44
120350,38,44
120351,44,37
120352,36,29
120353,21,36
120354,28,48
120355,23,16
120356,39,41
120357,21,28
120358,35,12
120359,33,43
120360,30,34
120361,10,25
120362,19,27
120363,35,42
120364,24,21
120365,31,43
120366,21,24
120367,17,29
120368,30,37
120369,25,48
120370,20,25
120371,23,31
120372,26,28
120373,42,23
120374,32,25
120375,33,27
120902,32,22
120903,42,21
120904,48,36
120905,31,33
120906,33,41
120907,29,28
120908,19,56
120909,24,14
120910,31,26
120911,44,19
120912,26,23
120913,39,24
120914,70,32
120915,21,38
120916,56,39
120917,28,22
120918,16,29
120919,33,25
120920,24,42
120921,39,39
120922,20,21
120923,29,19
120924,16,29
120925,38,37
120926,41,37
120927,24,29
120928,24,21
120929,22,28
120930,25,14
120931,20,17
120932,19,24
120933,29,29
120934,28,29
120935,27,33
120936,25,27
120937,34,38
120938,30,31
120939,37,26
120940,26,27
120941,33,19
120942,30,20
120943,36,24
120944,34,23
120945,50,33
120946,32,34
120947,32,36
120948,22,36
120949,24,21
120950,37,25
120951,25,25
120952,22,29
120953,35,35
120954,23,26
120955,30,24
120956,43,26
120957,42,41
120958,35,36
120959,39,37
120960,36,36
120961,34,37
120962,36,37
120963,35,36
120964,39,37
120965,38,42
120966,52,43
120967,42,39
120968,44,41
120969,39,43
120970,44,38
120971,41,41
120972,45,38
120973,38,41
120974,41,39
120975,45,38
120976,46,48
120977,35,43
120978,42,34
120979,40,37
120980,39,31
120981,48,42
120982,49,39
120983,43,37
120984,35,29
120985,38,41
120986,43,40
120987,33,35
120988,33,36
120989,36,37
120990,37,51
120991,37,36
120992,32,42
120993,37,37
120994,35,40
120995,43,34
120996,39,31
120997,41,26
120998,37,27
120999,34,26
121000,32,42
121001,31,32
121002,38,34
121003,34,34
121004,38,33
121005,38,34
121006,39,37
121007,38,41
121008,34,45
121009,34,38
121010,38,22
121011,33,31
121012,36,24
121013,34,42
121014,35,30
121015,32,33
121016,40,37
121017,42,41
121018,43,39
121019,40,37
121020,42,42
121021,41,37
121022,43,53
121023,47,51
121024,46,42
121025,44,41
121026,46,52
121027,51,29
121028,42,43
121029,32,44
121030,26,35
121031,38,36
121032,36,26
121033,44,38
121034,37,39
121035,39,49
121036,40,47
121037,43,50
121038,35,24
121039,44,29
121040,37,49
121041,44,48
121042,56,59
121043,49,57
121044,33,47
121045,44,43
121046,29,34
121047,33,38
121048,33,40
121049,45,39
121050,44,50
121051,49,42
121052,48,42
121053,33,35
121054,42,41
121055,35,44
121056,32,35
121057,44,31
121058,39,35
121059,37,33
121060,41,28
121061,39,40
121062,32,45
121063,19,43
121064,30,47
121065,33,31
121066,26,41
121067,30,12
121068,22,40
121069,48,52
121070,37,27
121071,39,20
121072,43,25
121073,44,39
121074,58,21
121075,36,34
121076,38,34
121077,62,18
121078,36,56
121079,30,47
121080,20,40
121081,21,27
121082,26,42
121083,23,24
121084,22,28
121085,18,29
121086,31,17
121087,33,55
121088,28,39
121089,33,55
121090,52,39
121615,53,26
121616,65,35
121617,31,25
121618,31,27
121619,36,38
121620,29,37
121621,54,24
121622,29,17
121623,50,39
121624,58,25
121625,15,25
121626,66,27
121627,25,24
121628,29,33
121629,48,27
121630,49,34
121631,48,49
121632,22,34
121633,38,31
121634,34,41
121635,32,17
121636,21,23
121637,27,27
121638,24,19
121639,28,34
121640,25,30
121641,33,28
121642,31,30
121643,32,24
121644,36,27
121645,32,19
121646,26,17
121647,35,29
121648,34,32
121649,26,22
121650,49,19
121651,15,23
121652,28,36
121653,32,20
121654,38,15
121655,35,22
121656,26,20
121657,33,25
121658,35,26
121659,38,22
121660,40,22
121661,32,19
121662,30,15
121663,31,22
121664,22,28
121665,29,25
121666,53,26
121667,31,28
121668,36,27
121669,29,21
121670,26,21
121671,36,42
121672,33,37
121673,39,33
121674,38,37
121675,36,34
121676,33,33
121677,35,36
121678,38,38
121679,39,40
121680,40,41
121681,38,40
121682,41,39
121683,40,39
121684,45,42
121685,40,37
121686,43,41
121687,39,43
121688,38,37
121689,48,34
121690,47,37
121691,41,44
121692,46,39
121693,40,37
121694,41,33
121695,38,40
121696,33,39
121697,40,37
121698,36,38
121699,39,35
121700,42,42
121701,40,39
121702,32,40
121703,30,40
121704,37,41
121705,39,38
121706,32,38
121707,37,41
121708,39,39
121709,48,32
121710,41,31
121711,42,40
121712,32,31
121713,40,40
121714,35,37
121715,33,39
121716,42,39
121717,36,31
121718,38,36
121719,37,33
121720,40,33
121721,34,39
121722,31,29
121723,38,34
121724,39,33
121725,52,36
121726,41,29
121727,55,25
121728,44,39
121729,39,38
121730,42,49
121731,35,42
121732,37,38
121733,40,36
121734,41,42
121735,40,41
121736,43,43
121737,42,46
121738,40,40
121739,38,39
121740,41,44
121741,33,39
121742,47,40
121743,34,46
121744,42,38
121745,45,37
121746,50,44
121747,48,42
121748,39,40
121749,35,40
121750,37,27
121751,38,34
121752,36,33
121753,36,35
121754,34,33
121755,53,41
121756,43,38
121757,35,45
121758,29,34
121759,52,34
121760,40,36
121761,27,47
121762,37,40
121763,30,45
121764,45,50
121765,48,47
121766,43,46
121767,24,36
121768,31,35
121769,28,43
121770,38,38
121771,37,36
121772,30,32
121773,32,50
121774,44,38
121775,25,29
121776,37,41
121777,36,43
121778,30,37
121779,35,29
121780,23,36
121781,26,63
121782,40,36
121783,25,54
121784,34,48
121785,37,33
121786,25,33
121787,39,30
121788,24,45
121789,50,36
121790,38,43
121791,31,41
121792,33,39
121793,34,39
121794,34,22
121795,25,20
121796,32,27
121797,36,53
121798,28,30
121799,22,28
121800,48,24
121801,41,43
121802,26,42
121803,30,36
121804,27,34
121805,14,23
122330,31,27
122331,70,24
122332,26,46
122333,35,41
122334,54,30
122335,20,48
122336,44,32
122337,45,54
122338,51,47
122339,32,30
122340,31,32
122341,28,45
122342,25,52
122343,25,31
122344,25,26
122345,69,28
122346,37,18
122347,36,23
122348,34,31
122349,24,38
122350,27,18
122351,10,19
122352,19,27
122353,26,21
122354,37,35
122355,42,35
122356,27,29
122357,32,25
122358,32,26
122359,38,30
122360,32,29
122361,28,23
122362,24,25
122363,35,18
122364,34,25
122365,43,26
122366,23,17
122367,21,17
122368,33,18
122369,38,14
122370,32,24
122371,32,27
122372,42,25
122373,30,28
122374,39,28
122375,37,19
122376,22,20
122377,31,23
122378,35,43
122379,42,29
122380,31,40
122381,45,19
122382,29,32
122383,35,41
122384,35,34
122385,38,39
122386,33,39
122387,37,36
122388,34,36
122389,36,39
122390,37,41
122391,35,39
122392,40,40
122393,41,35
122394,42,40
122395,42,38
122396,43,36
122397,39,38
122398,42,39
122399,39,39
122400,39,43
122401,35,43
122402,45,39
122403,40,35
122404,42,38
122405,37,41
122406,42,45
122407,35,42
122408,41,37
122409,38,38
122410,39,34
122411,39,33
122412,37,40
122413,39,43
122414,41,39
122415,41,34
122416,40,41
122417,44,42
122418,40,35
122419,34,47
122420,41,39
122421,38,39
122422,32,35
122423,40,40
122424,34,41
122425,42,33
122426,34,39
122427,35,27
122428,33,28
122429,39,28
122430,35,32
122431,27,33
122432,36,33
122433,37,38
122434,37,33
122435,35,34
122436,39,36
122437,38,37
122438,37,36
122439,33,38
122440,31,33
122441,40,32
122442,38,35
122443,40,44
122444,45,50
122445,38,40
122446,39,47
122447,48,37
122448,45,40
122449,44,39
122450,48,47
122451,35,51
122452,46,37
122453,42,50
122454,29,35
122455,41,41
122456,38,41
122457,43,41
122458,41,39
122459,32,46
122460,47,46
122461,36,39
122462,40,38
122463,54,37
122464,45,41
122465,32,35
122466,35,40
122467,34,35
122468,36,30
122469,34,36
122470,38,34
122471,40,47
122472,35,33
122473,34,33
122474,34,46
122475,26,42
122476,36,45
122477,52,50
122478,38,49
122479,35,54
122480,32,45
122481,45,42
122482,32,38
122483,35,32
122484,40,42
122485,31,36
122486,35,37
122487,33,37
122488,26,40
122489,32,32
122490,40,53
122491,34,37
122492,24,31
122493,37,35
122494,23,35
122495,44,36
122496,63,28
122497,19,56
122498,20,51
122499,39,38
122500,38,29
122501,45,32
122502,32,48
122503,41,39
122504,38,48
122505,35,34
122506,27,39
122507,31,30
122508,34,36
122509,23,40
122510,29,48
122511,30,27
122512,29,26
122513,24,42
122514,26,26
122515,31,39
122516,22,39
122517,18,48
122518,29,43
122519,17,32
122520,51,30
123045,39,26
123046,41,27
123047,49,32
123048,55,35
123049,59,53
123050,35,51
123051,33,31
123052,45,46
123053,44,34
123054,51,27
123055,36,35
123056,20,28
123057,57,39
123058,22,28
123059,32,31
123060,44,24
123061,50,22
123062,50,25
123063,38,29
123064,40,32
123065,45,24
123066,16,27
123067,36,52
123068,34,41
123069,24,41
123070,24,30
123071,33,32
123072,36,35
123073,38,33
123074,35,22
123075,34,24
123076,40,13
123077,37,33
123078,33,21
123079,47,14
123080,38,28
123081,35,27
123082,26,27
123083,18,12
123084,30,23
123085,36,38
123086,23,34
123087,31,35
123088,30,19
123089,38,30
123090,35,32
123091,37,17
123092,32,35
123093,22,33
123094,37,37
123095,24,27
123096,25,29
123097,44,36
123098,33,45
123099,37,39
123100,38,34
123101,38,37
123102,39,36
123103,36,42
123104,37,38
123105,40,41
123106,36,40
123107,40,38
123108,37,39
123109,44,37
123110,37,36
123111,39,39
123112,42,41
123113,44,37
123114,43,40
123115,40,40
123116,39,41
123117,41,35
123118,40,32
123119,44,40
123120,46,44
123121,42,37
123122,40,39
123123,38,44
123124,41,37
123125,44,32
123126,40,36
123127,44,49
123128,39,39
123129,40,41
123130,39,42
123131,44,36
123132,39,46
123133,42,48
123134,42,41
123135,45,42
123136,38,40
123137,38,38
123138,40,41
123139,44,42
123140,39,38
123141,39,42
123142,34,40
123143,35,34
123144,36,34
123145,36,35
123146,39,39
123147,41,42
123148,39,36
123149,41,44
123150,37,39
123151,38,34
123152,40,40
123153,40,40
123154,39,43
123155,40,45
123156,41,34
123157,45,49
123158,33,45
123159,35,43
123160,45,42
123161,44,38
123162,41,36
123163,40,41
123164,47,42
123165,43,46
123166,38,38
123167,36,41
123168,44,29
123169,36,44
123170,37,35
123171,33,30
123172,43,35
123173,36,44
123174,38,34
123175,37,34
123176,38,33
123177,44,45
123178,39,53
123179,38,50
123180,40,36
123181,40,43
123182,29,41
123183,36,44
123184,35,47
123185,40,45
123186,35,51
123187,40,39
123188,31,42
123189,59,54
123190,34,57
123191,29,60
123192,41,58
123193,38,56
123194,37,42
123195,31,47
123196,34,43
123197,43,34
123198,38,29
123199,33,53
123200,37,27
123201,31,26
123202,30,43
123203,19,39
123204,29,25
123205,32,53
123206,31,45
123207,40,40
123208,25,30
123209,25,63
123210,39,20
123211,37,37
123212,44,35
123213,30,30
123214,29,54
123215,37,52
123216,39,37
123217,34,42
123218,29,55
123219,35,27
123220,28,44
123221,33,30
123222,39,22
123223,36,28
123224,33,35
123225,31,20
123226,26,19
123227,37,27
123228,39,40
123229,37,31
123230,26,58
123231,30,59
123232,39,25
123233,35,40
123234,25,44
123235,22,32
123757,34,42
123758,29,32
123759,51,33
123760,33,30
123761,61,55
123762,24,43
123763,39,52
123764,20,27
123765,39,83
123766,49,39
123767,34,56
123768,42,31
123769,90,19
123770,27,26
123771,43,32
123772,33,42
123773,40,45
123774,49,37
123775,40,35
123776,49,50
123777,42,42
123778,35,40
123779,20,30
123780,41,30
123781,46,46
123782,50,43
123783,35,33
123784,32,30
123785,37,33
123786,38,37
123787,28,30
123788,27,29
123789,21,31
123790,31,27
123791,38,24
123792,28,27
123793,22,31
123794,36,40
123795,42,23
123796,26,25
123797,22,22
123798,27,21
123799,29,39
123800,27,35
123801,31,35
123802,30,26
123803,30,28
123804,37,19
123805,31,20
123806,32,26
123807,30,22
123808,34,17
123809,29,45
123810,36,31
123811,35,33
123812,28,27
123813,36,37
123814,42,38
123815,38,36
123816,37,35
123817,36,39
123818,39,41
123819,40,39
123820,42,43
123821,42,38
123822,42,36
123823,41,36
123824,46,36
123825,45,41
123826,39,40
123827,42,44
123828,41,40
123829,41,39
123830,40,36
123831,44,45
123832,43,44
123833,47,43
123834,48,42
123835,39,41
123836,49,41
123837,48,46
123838,45,46
123839,44,43
123840,36,36
123841,44,40
123842,45,42
123843,44,45
123844,41,41
123845,42,42
123846,44,44
123847,41,41
123848,48,45
123849,42,45
123850,44,40
123851,41,38
123852,34,38
123853,38,36
123854,39,43
123855,34,38
123856,40,45
123857,45,39
123858,40,44
123859,43,38
123860,44,46
123861,37,48
123862,37,53
123863,41,45
123864,49,40
123865,43,44
123866,41,51
123867,46,44
123868,38,33
123869,46,39
123870,39,44
123871,40,38
123872,37,35
123873,29,40
123874,36,40
123875,40,37
123876,40,35
123877,39,39
123878,46,31
123879,44,44
123880,44,40
123881,46,33
123882,29,42
123883,38,40
123884,44,38
123885,31,54
123886,48,44
123887,36,39
123888,45,41
123889,35,36
123890,38,37
123891,43,40
123892,44,43
123893,43,47
123894,42,51
123895,54,33
123896,40,39
123897,33,33
123898,27,35
123899,30,33
123900,42,65
123901,24,42
123902,22,41
123903,33,49
123904,22,49
123905,49,57
123906,30,47
123907,39,37
123908,29,30
123909,40,33
123910,40,48
123911,39,37
123912,36,38
123913,37,29
123914,20,43
123915,26,40
123916,26,26
123917,30,21
123918,42,26
123919,36,39
123920,45,38
123921,43,38
123922,28,46
123923,40,31
123924,41,37
123925,26,45
123926,41,48
123927,45,40
123928,34,33
123929,37,30
123930,29,35
123931,18,41
123932,30,43
123933,27,40
123934,16,22
123935,21,21
123936,22,39
123937,35,45
123938,25,41
123939,20,31
123940,30,24
123941,21,28
123942,30,23
123943,37,26
123944,30,34
123945,22,51
123946,24,49
123947,49,50
123948,22,32
123949,33,39
124471,33,22
124472,43,34
124473,39,51
124474,42,49
124475,44,36
124476,49,38
124477,39,59
124478,21,35
124479,15,36
124480,95,44
124481,45,60
124482,50,49
124483,51,29
124484,26,44
124485,55,32
124486,35,38
124487,50,34
124488,55,36
124489,50,43
124490,39,44
124491,36,41
124492,27,44
124493,33,26
124494,42,40
124495,53,41
124496,43,47
124497,30,46
124498,44,36
124499,47,27
124500,52,39
124501,40,31
124502,31,30
124503,19,26
124504,18,16
124505,40,29
124506,32,33
124507,33,24
124508,31,25
124509,24,28
124510,38,29
124511,40,36
124512,31,18
124513,40,33
124514,35,31
124515,24,24
124516,26,22
124517,37,32
124518,39,35
124519,32,35
124520,37,24
124521,36,32
124522,32,28
124523,36,24
124524,42,29
124525,53,26
124526,54,29
124527,44,38
124528,47,40
124529,40,36
124530,38,35
124531,37,37
124532,39,40
124533,40,38
124534,41,34
124535,39,39
124536,42,43
124537,40,42
124538,39,36
124539,45,43
124540,45,45
124541,47,44
124542,41,42
124543,45,43
124544,47,39
124545,44,43
124546,41,44
124547,44,37
124548,42,46
124549,41,37
124550,44,50
124551,45,44
124552,45,49
124553,35,41
124554,34,40
124555,39,42
124556,49,43
124557,45,49
124558,40,45
124559,46,48
124560,45,46
124561,47,44
124562,49,46
124563,42,45
124564,45,37
124565,46,37
124566,41,43
124567,43,42
124568,45,41
124569,39,38
124570,39,38
124571,38,45
124572,41,38
124573,39,44
124574,43,48
124575,40,47
124576,40,45
124577,44,40
124578,42,44
124579,44,50
124580,40,51
124581,37,45
124582,36,46
124583,36,44
124584,35,41
124585,39,43
124586,36,38
124587,29,29
124588,31,35
124589,39,37
124590,45,36
124591,36,39
124592,40,42
124593,43,38
124594,41,43
124595,36,41
124596,38,37
124597,40,40
124598,42,34
124599,32,30
124600,42,37
124601,38,37
124602,44,42
124603,32,32
124604,36,38
124605,36,30
124606,30,47
124607,45,43
124608,39,48
124609,41,31
124610,28,41
124611,37,38
124612,38,47
124613,31,45
124614,28,38
124615,26,42
124616,35,53
124617,33,34
124618,25,34
124619,25,32
124620,28,32
124621,28,37
124622,46,45
124623,35,36
124624,38,38
124625,39,30
124626,39,29
124627,34,37
124628,33,39
124629,32,32
124630,22,46
124631,32,55
124632,18,51
124633,40,53
124634,34,49
124635,35,60
124636,35,48
124637,31,41
124638,27,40
124639,28,39
124640,24,44
124641,34,46
124642,34,47
124643,18,34
124644,24,40
124645,30,32
124646,29,29
124647,23,44
124648,30,36
124649,34,28
124650,26,33
124651,23,39
124652,42,50
124653,45,36
124654,34,43
124655,32,40
124656,26,46
124657,28,46
124658,39,51
124659,24,19
124660,54,34
124661,28,42
124662,27,37
124663,33,36
124664,36,25
125186,52,60
125187,35,54
125188,11,40
125189,38,25
125190,38,58
125191,32,42
125192,29,55
125193,50,27
125194,14,42
125195,27,48
125196,27,73
125198,23,44
125199,8,44
125200,57,44
125201,42,49
125202,52,18
125203,52,35
125204,54,43
125205,24,44
125206,56,32
125207,36,44
125208,31,42
125209,29,43
125210,30,41
125211,46,43
125212,47,46
125213,41,50
125214,49,44
125215,39,31
125216,24,22
125217,28,28
125218,25,29
125219,22,21
125220,27,28
125221,29,21
125222,28,27
125223,37,25
125224,35,34
125225,27,39
125226,17,40
125227,33,25
125228,30,20
125229,28,18
125230,29,25
125231,33,36
125232,33,37
125233,41,44
125234,32,27
125235,25,21
125236,33,31
125237,22,23
125238,29,28
125239,34,28
125240,38,31
125241,45,39
125242,43,38
125243,39,39
125244,39,37
125245,37,36
125246,39,38
125247,39,41
125248,38,38
125249,38,38
125250,43,45
125251,37,43
125252,48,47
125253,42,45
125254,49,39
125255,48,50
125256,45,37
125257,51,41
125258,46,41
125259,40,37
125260,43,40
125261,42,38
125262,43,34
125263,43,38
125264,46,41
125265,43,41
125266,45,44
125267,35,36
125268,32,40
125269,37,42
125270,46,51
125271,43,45
125272,37,46
125273,47,46
125274,52,47
125275,46,44
125276,43,46
125277,43,45
125278,44,43
125279,53,40
125280,45,44
125281,42,41
125282,37,37
125283,34,38
125284,33,35
125285,37,41
125286,43,42
125287,43,40
125288,42,39
125289,37,37
125290,43,43
125291,42,45
125292,49,46
125293,47,47
125294,40,41
125295,33,40
125296,35,40
125297,42,45
125298,40,45
125299,47,47
125300,49,41
125301,40,39
125302,28,32
125303,39,32
125304,36,42
125305,42,37
125306,42,37
125307,41,44
125308,40,37
125309,44,44
125310,38,37
125311,39,40
125312,31,34
125313,37,25
125314,40,27
125315,34,54
125316,46,39
125317,44,37
125318,49,34
125319,45,39
125320,40,40
125321,45,22
125322,38,41
125323,32,26
125324,27,42
125325,36,39
125326,42,27
125327,25,56
125328,33,56
125329,26,49
125330,41,48
125331,27,27
125332,35,48
125333,25,44
125334,28,32
125335,40,30
125336,35,46
125337,31,40
125338,32,35
125339,25,29
125340,28,30
125341,22,38
125342,39,29
125343,30,46
125344,23,34
125345,34,67
125346,38,50
125347,42,64
125348,31,63
125349,44,70
125350,33,73
125351,35,67
125352,31,39
125353,36,46
125354,20,21
125355,18,53
125356,21,30
125357,45,34
125358,30,43
125359,30,34
125360,24,20
125361,49,26
125362,22,34
125363,25,21
125364,29,34
125365,37,36
125366,37,39
125367,45,24
125368,40,29
125369,17,37
125370,28,32
125371,19,41
125372,34,21
125373,31,33
125374,24,15
125375,39,45
125376,27,58
125377,53,50
125378,21,30
125379,37,27
125900,52,24
125901,40,29
125902,41,40
125903,50,53
125904,42,49
125905,41,25
125906,68,36
125907,54,35
125908,52,47
125909,40,43
125910,65,49
125911,33,29
125912,44,26
125913,58,42
125914,42,37
125915,52,50
125916,53,22
125917,45,40
125918,57,37
125919,43,45
125920,41,39
125921,55,27
125922,35,30
125923,33,34
125924,25,51
125925,32,45
125926,61,51
125927,42,45
125928,46,22
125929,34,18
125930,21,23
125931,28,25
125932,35,22
125933,32,23
125934,25,28
125935,13,36
125936,46,33
125937,35,31
125938,29,41
125939,33,36
125940,44,37
125941,36,27
125942,35,25
125943,29,19
125944,32,25
125945,36,30
125946,29,29
125947,28,30
125948,33,28
125949,48,26
125950,28,31
125951,30,26
125952,34,32
125953,35,27
125954,31,33
125955,35,37
125956,40,35
125957,38,39
125958,41,36
125959,40,37
125960,41,38
125961,41,35
125962,43,39
125963,42,42
125964,38,40
125965,43,40
125966,47,43
125967,53,45
125968,50,44
125969,46,46
125970,48,42
125971,44,40
125972,45,40
125973,45,37
125974,39,44
125975,45,43
125976,45,44
125977,46,45
125978,45,39
125979,44,50
125980,51,50
125981,48,48
125982,44,49
125983,57,43
125984,49,46
125985,46,47
125986,48,47
125987,49,50
125988,44,43
125989,47,45
125990,44,42
125991,41,39
125992,41,42
125993,46,42
125994,42,44
125995,42,40
125996,42,36
125997,35,38
125998,36,39
125999,40,44
126000,44,40
126001,41,40
126002,38,39
126003,40,39
126004,40,40
126005,46,43
126006,45,44
126007,44,47
126008,40,42
126009,37,37
126010,43,44
126011,43,42
126012,40,42
126013,41,37
126014,45,53
126015,50,44
126016,43,40
126017,39,38
126018,44,40
126019,42,39
126020,42,36
126021,36,37
126022,36,44
126023,42,39
126024,37,37
126025,37,41
126026,37,40
126027,37,30
126028,40,21
126029,22,39
126030,34,44
126031,40,38
126032,47,35
126033,47,42
126034,41,33
126035,37,27
126036,30,38
126037,41,34
126038,40,53
126039,39,43
126040,36,47
126041,43,51
126042,50,62
126043,45,51
126044,24,41
126045,27,31
126046,45,43
126047,40,57
126048,47,51
126049,35,38
126050,31,38
126051,47,37
126052,32,32
126053,35,30
126054,40,34
126055,24,35
126056,39,30
126057,21,40
126058,28,35
126059,17,37
126060,33,48
