home_grid,age,gender,is_local,ses,avg_dis
143117,a4,2,Y,95,6.481
143117,a5,1,N,95,3.39
143117,a5,1,Y,95,6.013
143117,a5,2,N,95,3.662
143117,a5,2,Y,95,8.122
143117,a6,1,N,95,2.148
143117,a6,1,Y,95,7.575
143117,a6,2,N,95,3.438
143117,a6,2,Y,95,10.673
143117,a7,1,N,95,3.5
143117,a7,1,Y,95,7.194
143117,a7,2,N,95,0.924
143117,a7,2,Y,95,5.703
143118,a1,1,Y,83,2.715
143118,a2,1,N,83,7.122
143118,a2,1,Y,83,7.033
143118,a2,2,Y,83,8.814
143118,a3,1,N,83,19.811
143118,a3,1,Y,83,6.734
143118,a3,2,N,83,5.997
143118,a3,2,Y,83,5.905
143118,a4,1,N,83,7.414
143118,a4,1,Y,83,6.807
143118,a4,2,N,83,4.077
143118,a4,2,Y,83,6.541
143118,a5,1,N,83,2.741
143118,a5,1,Y,83,3.697
143118,a5,2,N,83,5.617
143118,a5,2,Y,83,8.437
143118,a6,1,N,83,7.945
143118,a6,1,Y,83,5.173
143118,a6,2,N,83,3.578
143118,a6,2,Y,83,6.564
143118,a7,1,N,83,5.23
143118,a7,1,Y,83,6.021
143118,a7,2,N,83,0.843
143118,a7,2,Y,83,5.413
143119,a1,1,Y,88,1.622
143119,a2,1,N,88,9.4
143119,a2,1,Y,88,7.223
143119,a2,2,N,88,13.648
143119,a2,2,Y,88,6.65
143119,a3,1,N,88,4.547
143119,a3,1,Y,88,7.298
143119,a3,2,N,88,3.589
143119,a3,2,Y,88,7.262
143119,a4,1,N,88,6.063
143119,a4,1,Y,88,7.305
143119,a4,2,N,88,7.91
143119,a4,2,Y,88,6.563
143119,a5,1,N,88,4.769
143119,a5,1,Y,88,5.808
143119,a5,2,N,88,4.659
143119,a5,2,Y,88,5.946
143119,a6,1,N,88,4.143
143119,a6,1,Y,88,4.852
143119,a6,2,N,88,6.713
143119,a6,2,Y,88,8.613
143119,a7,1,N,88,3.546
143119,a7,1,Y,88,4.111
143119,a7,2,N,88,1.529
143119,a7,2,Y,88,5.152
143120,a1,1,Y,91,5.919
143120,a1,2,Y,91,7.98
143120,a2,1,N,91,5.656
143120,a2,1,Y,91,7.781
143120,a2,2,N,91,2.427
143120,a2,2,Y,91,6.424
143120,a3,1,N,91,5.539
143120,a3,1,Y,91,6.947
143120,a3,2,N,91,4.996
143120,a3,2,Y,91,6.432
143120,a4,1,N,91,5.172
143120,a4,1,Y,91,7.794
143120,a4,2,N,91,6.529
143120,a4,2,Y,91,6.625
143120,a5,1,N,91,5.626
143120,a5,1,Y,91,6.339
143120,a5,2,N,91,10.017
143120,a5,2,Y,91,6.423
143120,a6,1,N,91,6.541
143120,a6,1,Y,91,7.781
143120,a6,2,N,91,4.125
143120,a6,2,Y,91,7.827
143120,a7,1,N,91,5.741
143120,a7,1,Y,91,6.461
143120,a7,2,N,91,3.03
143120,a7,2,Y,91,7.732
143121,a1,1,Y,100,0.799
143121,a1,2,Y,100,7.616
143121,a2,1,N,100,1.694
143121,a2,1,Y,100,5.674
143121,a2,2,N,100,2.498
143121,a2,2,Y,100,6.735
143121,a3,1,N,100,4.422
143121,a3,1,Y,100,6.34
143121,a3,2,N,100,3.816
143121,a3,2,Y,100,5.758
143121,a4,1,N,100,4.219
143121,a4,1,Y,100,6.07
143121,a4,2,N,100,3.719
143121,a4,2,Y,100,6.106
143121,a5,1,N,100,16.097
143121,a5,1,Y,100,6.732
143121,a5,2,N,100,1.327
143121,a5,2,Y,100,6.08
143121,a6,1,N,100,2.802
143121,a6,1,Y,100,8.307
143121,a6,2,N,100,6.843
143121,a6,2,Y,100,5.63
143121,a7,1,N,100,5.743
143121,a7,1,Y,100,5.285
143121,a7,2,N,100,3.457
143121,a7,2,Y,100,4.46
143122,a1,1,Y,97,3.045
143122,a2,1,N,97,3.95
143122,a2,1,Y,97,3.729
143122,a2,2,Y,97,4.869
143122,a3,1,N,97,2.272
143122,a3,1,Y,97,4.235
143122,a3,2,N,97,6.321
143122,a3,2,Y,97,5.135
143122,a4,1,N,97,5.659
143122,a4,1,Y,97,5.736
143122,a4,2,N,97,3.733
143122,a4,2,Y,97,7.045
143122,a5,1,N,97,2.653
143122,a5,1,Y,97,3.333
143122,a5,2,N,97,5.09
143122,a5,2,Y,97,3.71
143122,a6,1,N,97,4.589
143122,a6,1,Y,97,5.838
143122,a6,2,N,97,2.627
143122,a6,2,Y,97,5.316
143122,a7,1,N,97,1.472
143122,a7,1,Y,97,4.036
143122,a7,2,N,97,7.147
143122,a7,2,Y,97,2.351
143123,a1,1,Y,99,5.712
143123,a1,2,Y,99,2.057
143123,a2,1,N,99,8.523
143123,a2,1,Y,99,7.063
143123,a2,2,N,99,5.39
143123,a2,2,Y,99,3.287
143123,a3,1,N,99,6.025
143123,a3,1,Y,99,5.35
143123,a3,2,N,99,5.626
143123,a3,2,Y,99,4.911
143123,a4,1,N,99,4.467
143123,a4,1,Y,99,5.245
143123,a4,2,N,99,5.595
143123,a4,2,Y,99,5.169
143123,a5,1,N,99,3.367
