home_grid,isolation,ses,ses2
173765,0.20951208694005707,38,2
173768,0.20498746282595515,42,2
173775,0.24139584534905384,55,3
173794,0.3136965044811668,78,4
173797,0.10650127055458,81,4
173798,0.3203014039414297,81,4
173809,0.3513876887800403,94,4
173810,0.29700650246366694,94,4
173811,0.11051449355199339,55,3
173812,0.29882538291932725,94,4
173814,0.31487365799661626,73,3
173820,0.3097436168360176,81,4
173821,0.5594600985863758,81,4
173822,0.38833797813675985,68,3
173823,0.26703377542321965,68,3
173827,0.3753488021408504,55,3
173828,0.4372891707111531,61,3
173835,0.4135283263801407,53,3
173836,0.422216754127133,53,3
173837,0.3321848718951179,61,3
173838,0.3784904791649838,59,3
173839,0.4067308733548898,59,3
173840,0.37643566644261495,69,3
173841,0.36044087392871527,57,3
173842,0.3000884619812113,59,3
173844,0.34855072407025023,59,3
173845,0.35879808164118554,76,4
173846,0.2031809736779761,68,3
173847,0.16630811129179646,39,2
173851,0.4005479060953661,46,2
173852,0.3811434281946995,56,3
173853,0.2859349202326396,43,2
173854,0.31106702184637836,47,2
173855,0.32248378224768837,79,4
173856,0.33820847598516013,77,4
173857,0.26012853841387984,68,3
173858,0.30085079036558865,34,2
173863,0.3825492429278432,68,3
173867,0.18687061318345044,27,2
173930,0.4622575341746221,47,2
174478,0.2783046080946725,53,3
174479,0.21923323445265924,38,2
174482,0.18501899238101882,43,2
174511,0.3291855608588563,67,3
174512,0.4145231163171347,67,3
174513,0.3479423089131333,93,4
174527,0.3927975051690063,68,3
174536,0.3494277236941842,68,3
174541,0.48509113643461604,53,3
174542,0.39968324846617365,53,3
174549,0.3321165780892633,53,3
174550,0.3950117494271493,37,2
174552,0.38123676692204117,57,3
174553,0.48021832079425664,57,3
174554,0.4248761314024172,46,2
174555,0.2726003013634348,62,3
174556,0.5335416615850914,47,2
174557,0.4198341289970283,53,3
174558,0.4880157626292273,51,3
174559,0.335460228341267,58,3
174565,0.27843962117451243,46,2
174566,0.38548055025384254,46,2
174567,0.38545700620861423,64,3
174568,0.3221225668841915,64,3
174569,0.3309075367922958,52,3
174570,0.21793766258945935,63,3
174572,0.3568762563462438,34,2
174573,0.36957554519762975,55,3
174574,0.3033305107157683,55,3
174577,0.36589380111816305,66,3
174578,0.27122428955459565,66,3
175196,0.1305784207937747,43,2
175201,0.15074677473832235,46,2
175225,0.35696602781087444,67,3
175226,0.39126307092122636,67,3
175227,0.4386131374789852,97,4
175232,0.31716024469885734,95,4
175240,0.3451260608063363,83,4
175241,0.4009076968032238,70,3
175242,0.4633138611474883,74,3
175243,0.4045974490135922,78,4
175250,0.46264907140103206,78,4
175251,0.41162687703270073,78,4
175253,0.39134278789621824,55,3
175254,0.4868421611253466,88,4
175255,0.35291850894482063,64,3
175256,0.4625672208308904,83,4
175257,0.40562583923708395,68,3
175262,0.3784968443302726,77,4
175263,0.395934481081491,75,3
175264,0.3822134333380408,74,3
175265,0.4284338009638791,42,2
175266,0.3600097529768469,64,3
175267,0.3892756918855491,65,3
175268,0.41921786658478793,61,3
175269,0.35064071581492195,62,3
175270,0.33642400668309813,57,3
175271,0.44374358498982724,72,3
175280,0.38184197576238793,75,3
175281,0.4183157367008595,47,2
175282,0.3046164013275873,62,3
175283,0.34927290673371353,62,3
175284,0.3499494013049934,11,1
175285,0.2596447114761843,37,2
175286,0.2912714790432186,46,2
175291,0.260590381720216,84,4
175292,0.1928019274646247,91,4
175293,0.20271570110865778,96,4
175946,0.32800147883538733,95,4
175955,0.4381450809846593,70,3
175956,0.4486338089508801,70,3
175959,0.29567600020779483,65,3
175960,0.36473022752746564,71,3
175963,0.39181534664599976,61,3
175964,0.3687622578930972,65,3
175967,0.44528577390984464,62,3
175968,0.39134954422529356,57,3
175971,0.4610901014730906,70,3
175976,0.38370650771766,88,4
175977,0.3599204031338755,68,3
175978,0.36684563394372277,64,3
175979,0.41723062995803917,63,3
175980,0.4496181564885413,63,3
175981,0.4460777780340244,63,3
175982,0.42746957235938243,63,3
175983,0.3844305096402971,84,4
175984,0.3513202836089998,60,3
175985,0.32942298990048324,68,3
175986,0.33712777405265265,71,3
175994,0.31740227996355436,75,3
175996,0.3886308647760815,53,3
175997,0.35238035463737605,53,3
175998,0.2969516687129839,58,3
176001,0.3956492886721251,47,2
176002,0.3819866432194765,47,2
176003,0.3337860216470159,66,3
176004,0.3319789887945006,62,3
176005,0.24791990615341622,63,3
176006,0.2682026401395222,39,2
176643,0.3487185245390658,67,3
176672,0.49432990123796183,87,4
176673,0.5137149448313681,79,4
176681,0.4491595042467165,71,3
176682,0.5116975751326351,57,3
176683,0.44577683924387285,62,3
176684,0.48782319719965894,76,4
176690,0.38016301247887396,88,4
176692,0.37837991184746933,73,3
176693,0.43630649046467407,63,3
176694,0.4008184474118995,63,3
176695,0.4583541032328933,56,3
176697,0.3236021192217635,70,3
176698,0.42909233390144175,70,3
176699,0.39441112793822364,80,4
176700,0.4277795764255723,69,3
176709,0.30316080957029956,47,2
176710,0.4642383227689509,48,2
176711,0.3685161396087376,62,3
176712,0.33938687353133706,42,2
176713,0.31093559868630205,39,2
176714,0.3744148015330936,45,2
176716,0.4299338796225603,65,3
176717,0.4739502202390664,55,3
176718,0.3548176761484597,62,3
176719,0.33462999789180065,91,4
177386,0.49716436407555464,87,4
177387,0.4557870984999238,65,3
177388,0.5058542472068834,80,4
177389,0.3777279800159617,80,4
177393,0.4965508714619083,54,3
177404,0.36612246494675615,64,3
177405,0.3186485654471472,59,3
177406,0.4894680043260625,53,3
177407,0.37091708126421535,54,3
177408,0.3689465548926437,68,3
177409,0.3445800927853802,7,1
177412,0.3993796855968462,51,3
177413,0.3573907210474514,64,3
177425,0.19489334439476608,59,3
177426,0.24688792450649277,42,2
177427,0.3317963587497992,40,2
177428,0.360431143874992,44,2
177429,0.36280531906415675,46,2
177430,0.34923160497788214,46,2
177431,0.30133897323775694,69,3
177433,0.28788966527256143,91,4
178078,0.39158959472106825,69,3
178079,0.38910490847999696,69,3
178098,0.4915235045632059,76,4
178099,0.5341809101035724,76,4
178100,0.5386840882206556,71,3
178101,0.4320752280618111,75,3
178102,0.4747688540465892,80,4
178103,0.5700589782096359,80,4
178107,0.5172020397996829,54,3
178108,0.36037405619461876,55,3
178109,0.3979709189618908,55,3
178110,0.4868550212491374,93,4
178119,0.4268030047964585,50,2
178120,0.3020666052754737,51,3
178121,0.3951544826710095,48,2
178122,0.28526992641366705,70,3
178123,0.4506691842498963,7,1
178124,0.33713236198343927,53,3
178138,0.4480888419343789,88,4
178139,0.33902563949618847,88,4
178140,0.3155881126445042,91,4
178142,0.3768924360873621,59,3
178145,0.3159635685490584,87,4
178146,0.1896431750646899,87,4
178209,0.3853352983037932,7,1
178210,0.5351127717522732,16,1
178211,0.7320341372380931,16,1
178793,0.3945347716145653,76,4
178812,0.5331695501472986,79,4
178814,0.5453441779326683,65,3
178820,0.48865819942413885,59,3
178822,0.35477700648560284,62,3
178823,0.29732522255072225,60,3
178824,0.3985597224943421,93,4
178825,0.4440055637669178,93,4
178833,0.40505802391166856,53,3
178834,0.35888147153023314,53,3
178836,0.2876562854534615,60,3
178837,0.3395423490440621,57,3
178838,0.35237573912756687,53,3
178848,0.36936760612533803,51,3
178852,0.3852148608448627,60,3
178853,0.2677490649882061,60,3
178855,0.3276071661547878,68,3
178856,0.33263495714440405,68,3
178858,0.2920387941134016,52,3
178924,0.4178803492607981,6,1
179507,0.45914849468947094,69,3
179526,0.3866155963999107,68,3
179527,0.48594053432507256,68,3
179528,0.49916635089321393,74,3
179529,0.3991436019425607,60,3
179530,0.4057780034436753,42,2
179534,0.3443816365598081,53,3
179535,0.4672691800722489,58,3
179536,0.40867295932313796,74,3
179537,0.4058984962769103,48,2
179550,0.40075705638594894,100,4
179551,0.32746291913483205,100,4
179556,0.3307428877436961,79,4
179559,0.3059748643530964,62,3
179566,0.45642075478604394,60,3
179567,0.46240561544164405,60,3
179568,0.4470310650702685,67,3
179587,0.13907381382948708,16,1
180216,0.5325055124482027,69,3
180217,0.34055531527674043,69,3
180221,0.44039040884408076,69,3
180232,0.4671247595945994,94,4
180233,0.3848635876939655,93,4
180241,0.5103929245283518,61,3
180242,0.5046211877243075,79,4
180243,0.406291657681724,79,4
180244,0.289403920037977,58,3
180245,0.3475155935948946,64,3
180246,0.366680490835231,78,4
180247,0.28271082739389636,4,1
180248,0.4826621920058779,4,1
180249,0.4371916035507286,58,3
180250,0.3669352366505625,61,3
180251,0.36346291060376223,86,4
180270,0.31034680739511944,79,4
180273,0.41178705928036186,59,3
180280,0.5435250474790913,69,3
180281,0.46439467252120936,69,3
180282,0.32995393740201007,57,3
180283,0.4104214931252592,37,2
180284,0.27840828319755906,37,2
180319,0.05312611000679934,62,3
180932,0.5125669241943215,93,4
180933,0.43048188862176107,90,4
180946,0.3782359055121871,94,4
180947,0.31764217517510457,97,4
180954,0.61304460787757,66,3
180955,0.5474259367514618,66,3
180956,0.40924874821032176,65,3
180959,0.4343004687617862,69,3
180960,0.47182214826286467,64,3
180961,0.46071618396849634,30,2
180962,0.3058685897929704,58,3
180963,0.4086515171812427,56,3
180964,0.4374255173234265,87,4
180965,0.4093607242595514,87,4
180980,0.3358403154140051,61,3
180981,0.34266048437648755,61,3
180983,0.33604171082196943,58,3
180984,0.371536302657017,92,4
180997,0.3585427973085533,37,2
181644,0.4815592059872629,82,4
181645,0.47335867939018056,82,4
181660,0.22675062813691754,91,4
181661,0.3115264072175174,97,4
181668,0.529975843591641,66,3
181669,0.49727701591811446,66,3
181676,0.3515768843611358,64,3
181677,0.4060056529250311,80,4
181678,0.44236507300473493,81,4
181679,0.40613762958207494,89,4
181709,0.36351045557517836,62,3
182358,0.368598339731125,64,3
182359,0.4369321901491417,64,3
182361,0.438971773591736,73,3
182375,0.16761503178710596,99,4
182393,0.23731723372675967,89,4
182422,0.289859494815621,93,4
182423,0.353137135582551,87,4
182424,0.17908961396391732,87,4
183071,0.5958015596952232,68,3
183072,0.6176422569736246,68,3
183073,0.5557335327100146,63,3
183075,0.4987045935081845,64,3
183076,0.4023375160013094,69,3
183080,0.35301767406138096,71,3
183126,0.2160205703397431,43,2
183137,0.24960613226094774,62,3
183153,0.1335791726244634,30,2
183785,0.45441618234768644,68,3
183786,0.624247034234358,68,3
183787,0.5764490474688351,61,3
183789,0.48754586225265906,64,3
183794,0.46844391415031944,78,4
183815,0.2629576817506786,39,2
183834,0.14725290337944308,59,3
183835,0.3090384450447312,20,1
183836,0.17413221388548053,63,3
183837,0.25363594861475847,63,3
183840,0.2835323280785738,43,2
183841,0.35425511806624155,83,4
183842,0.22676888818940716,71,3
183852,0.11204739849266178,61,3
183867,0.25433947742412294,30,2
183868,0.13907191271362934,78,4
183908,0.6051717881381626,3,1
184500,0.44339344607396713,64,3
184501,0.6766248971129822,61,3
184508,0.41496429023878556,78,4
184523,0.4241171228872978,54,3
184524,0.423326763243185,40,2
184525,0.48609648168559844,56,3
184527,0.48200065911469236,58,3
184529,0.2639597390869606,45,2
184530,0.4179927769552543,45,2
184548,0.2869052075597883,62,3
184549,0.3208199884306491,47,2
184550,0.3137413165411137,63,3
184551,0.3466103894783751,56,3
184554,0.4274018417245907,34,2
184555,0.4262123592458008,34,2
184556,0.33701814802143903,47,2
184582,0.1631180270833899,78,4
184622,0.35073522711819766,3,1
184623,0.19004387033535663,3,1
185213,0.3994338543916796,72,3
185215,0.4252527725160419,64,3
185220,0.4954854710045887,71,3
185221,0.5118406858777712,84,4
185222,0.43344882176041155,84,4
185228,0.2973530220022387,24,1
185229,0.24544017661507392,91,4
185230,0.49665099138028224,78,4
185235,0.3311068012773825,93,4
185236,0.518136821484545,93,4
185237,0.3800306009571903,60,3
185238,0.4280231064046856,48,2
185239,0.3508162582774783,65,3
185240,0.4136370492647049,65,3
185241,0.46340962061383434,58,3
185243,0.4076873401456116,48,2
185244,0.4058828824102852,64,3
185263,0.28500616207289375,47,2
185265,0.30801505436917026,44,2
185267,0.3490451849143592,41,2
185268,0.3722927261860736,41,2
185270,0.40810004988386633,47,2
185335,0.3896731970414855,2,1
185927,0.4611478600478458,72,3
185928,0.546568415411365,61,3
185929,0.4031241742952508,61,3
185931,0.44832448285426124,86,4
185932,0.47425258414533034,88,4
185933,0.5233013598936316,60,3
185934,0.5581722117066399,60,3
185935,0.42186090140282995,84,4
185936,0.3888562869613899,84,4
185942,0.22846912250467444,24,1
185943,0.2903298536990523,83,4
185944,0.4111201180899858,83,4
185946,0.38643651958381664,66,3
185947,0.4190838565267456,70,3
185948,0.4180208312083676,63,3
185949,0.33333491479128896,95,4
185950,0.4852524476685159,54,3
185951,0.34067933288785546,54,3
185952,0.39709218235017096,50,2
185953,0.3645716232755379,50,2
185955,0.45358822694755313,52,3
185956,0.36107828494477606,56,3
185957,0.5698423113452855,50,2
185958,0.38230170129640617,63,3
185963,0.38139666567093156,63,3
185976,0.3942348379769876,71,3
185977,0.33275115633215546,34,2
185978,0.3326696962663615,40,2
185979,0.3472707629737207,40,2
185985,0.2950088325220843,43,2
