visit_grid,ses2,distance
83053,4,29773
83054,1,10005
83054,2,33000
83054,3,33482
83054,4,33306
83055,1,13465
83055,2,25638
83055,3,32643
83055,4,32971
83056,1,16716
83056,2,32842
83056,3,34471
83056,4,32025
83057,1,8992
83057,2,29802
83057,3,33694
83057,4,32603
83058,1,8371
83058,2,26558
83058,3,34864
83058,4,33950
83059,1,9510
83059,2,27806
83059,3,31052
83059,4,33761
83060,1,8418
83060,2,28360
83060,3,29832
83060,4,32062
83061,1,11300
83061,2,29710
83061,3,31174
83061,4,32888
83062,1,9650
83062,2,30383
83062,3,32285
83062,4,32092
83063,1,9938
83063,2,25676
83063,3,29930
83063,4,30614
83064,1,9490
83064,2,29727
83064,3,33206
83064,4,33778
83065,1,9791
83065,2,29822
83065,3,29783
83065,4,33039
83066,1,11022
83066,2,29454
83066,3,32516
83066,4,32496
83067,1,8399
83067,2,30663
83067,3,33219
83067,4,29865
83068,1,10272
83068,2,31133
83068,3,30013
83068,4,31728
83069,1,10132
83069,2,30336
83069,3,33026
83069,4,31754
83070,1,10144
83070,2,29517
83070,3,31827
83070,4,30657
83071,1,10337
83071,2,28824
83071,3,31517
83071,4,30785
83072,1,9652
83072,2,29238
83072,3,29835
83072,4,29871
83073,1,9401
83073,2,31317
83073,3,29972
83073,4,29409
83074,1,8752
83074,2,25532
83074,3,29800
83074,4,29747
83075,1,11046
83075,2,25058
83075,3,32299
83075,4,28538
83076,1,11821
83076,2,23921
83076,3,29807
83076,4,30704
83077,1,9934
83077,2,26071
83077,3,30370
83077,4,30219
83078,1,11074
83078,2,30147
83078,3,29567
83078,4,30228
83079,1,9746
83079,2,26441
83079,3,28078
83079,4,29651
83080,1,8738
83080,2,22715
83080,3,30819
83080,4,29000
83081,1,9022
83081,2,22299
83081,3,28237
83081,4,27138
83082,1,9012
83082,2,24505
83082,3,29094
83082,4,27641
83083,1,7278
83083,2,24004
83083,3,26765
83083,4,27824
83084,1,8856
83084,2,24395
83084,3,26835
83084,4,29835
83085,1,8720
